z,U_obs,T_obs
(m),(m/s),(C)
0.56,1.84,24.91
0.8,1.97,nan
1.12,2.16,24.39
1.6,2.38,nan
2.24,2.63,23.76
3.2,2.89,nan
4.48,3.09,23.9
6.4,3.47,nan
