Site_ID,Variable,Start_Date,Height,Instrument_Model,Instrument_Model2,Comment,BASE_Version
CA-Ojp,SWC_1_1_1,,,SWC-Other,,CS615 soil moisture sensor,02-May
CA-Ojp,SWC_1_2_1,,-0.3,SWC-Other,,CS615 soil moisture sensor,02-May
CA-Ojp,TA_1_1_1,,28,TEMP-Other,,Vaisala HMP n a gill radiation shield,02-May
CA-Qc2,NETRAD_PI_F,,15,,,,01-May
CA-Qc2,G_1_2_2,,-0.08,,,,01-May
CA-Ojp,TS_1_1_1,,-0.02,TEMP-Other,,Queens Univ-made thermo-couple rod,02-May
CA-Ojp,TS_1_2_1,,-0.05,TEMP-Other,,Queens Univ-made thermo-couple rod,02-May
CA-Ojp,USTAR,,28,,,,02-May
CA-Ojp,VPD_PI,,28,,,,02-May
CA-Ojp,WD,,29,,,,02-May
CA-Qc2,TA_PI_F_1,,15,,,,01-May
CA-Ojp,WS,,29,WIND-Other,,RM Young pro-peller anemometer,02-May
CA-Qc2,SWC_PI_2,,-0.1,,,,01-May
CA-Qc2,SWC_PI_3,,-0.2,,,,01-May
CA-Qc2,SWC_PI_4,,-0.5,,,,01-May
CA-Qc2,SWC_PI_1,,-0.05,,,,01-May
CA-Qc2,CO2_1_2_1,,3,,,,01-May
CA-Qc2,SWC_1_2_1,,-0.1,,,,01-May
CA-Qc2,SWC_1_3_1,,-0.2,,,,01-May
CA-Qc2,SWC_1_4_1,,-0.5,,,,01-May
CA-Qc2,SWC_1_1_1,,-0.05,,,,01-May
CA-Qc2,SWC_2_2_1,,-0.1,,,,01-May
CA-Qc2,SWC_2_3_1,,-0.2,,,,01-May
CA-Qc2,SWC_2_4_1,,-0.5,,,,01-May
CA-Qc2,SWC_2_1_1,,-0.05,,,,01-May
CA-Qc2,CO2_1_1_1,,15,,,,01-May
CA-Qc2,USTAR,,15,,,,01-May
CA-Qc2,TA_1_1_2,,15,,,,01-May
CA-Qc2,TA_1_2_1,,5,,,,01-May
CA-Qc2,RH_1_1_1,,15,,,,01-May
CA-Qc2,RH_1_2_1,,5,,,,01-May
CA-Qc2,PPFD_IN_1_1_3,,15,,,,01-May
CA-Qc2,PPFD_IN_1_1_1,,15,,,,01-May
CA-Qc2,PPFD_IN_1_1_2,,15,,,,01-May
CA-Qc2,FC_1_1_2,,15,,,,01-May
CA-Qc2,LE_1_1_2,,15,,,,01-May
CA-Qc2,FC_1_1_1,,15,,,,01-May
CA-Qc2,PPFD_IN_1_2_1,,1,,,,01-May
CA-Qc2,PPFD_OUT,,14,,,,01-May
CA-Qc2,LE_1_1_1,,15,,,,01-May
CA-Qc2,G_1_2_1,,-0.08,,,,01-May
CA-Qc2,TS_PI_F_2,,-0.05,,,,01-May
CA-Qc2,SC,,7.5,,,,01-May
CA-Qc2,SLE,,7.5,,,,01-May
CA-Qc2,SH,,7.5,,,,01-May
CA-Qc2,RH_PI_F_1,,15,,,,01-May
CA-Qc2,TS_1_1_1,,-0.03,,,,01-May
CA-Qc2,TS_1_3_1,,-0.1,,,,01-May
CA-Qc2,TS_1_4_1,,-0.2,,,,01-May
CA-Qc2,TS_1_5_1,,-0.5,,,,01-May
CA-Qc2,TS_1_2_1,,-0.05,,,,01-May
CA-Qc2,TS_2_1_1,,-0.03,,,,01-May
CA-Qc2,TS_2_3_1,,-0.1,,,,01-May
CA-Qc2,TS_2_4_1,,-0.2,,,,01-May
CA-Qc2,TS_2_5_1,,-0.5,,,,01-May
CA-Qc2,TS_2_2_1,,-0.05,,,,01-May
CA-Qc2,H_1_1_1,,15,,,,01-May
CA-Qc2,TA_1_1_1,,15,,,,01-May
CA-Qc2,H_1_1_2,,15,,,,01-May
CA-Qc2,WD,,15,,,,01-May
CA-Qc2,WS,,15,,,,01-May
CA-Qc2,WS_PI_F,,15,,,,01-May
CA-Qcu,CO2_1,,7,,,,01-Jan
CA-Qcu,FC,,7,GA-Other,,LI-7500 IRGA,01-Jan
CA-Qcu,G,,0,,,,01-Jan
CA-Qcu,H,,7,SA-Other,,fine-wire thermocouple,01-Jan
CA-Qcu,LE,,7,GA-Other,,LI-7500 IRGA,01-Jan
CA-Qcu,PPFD_IN,,7.5,RAD-Other,,LI-190SB,01-Jan
CA-Qcu,PPFD_OUT,,7,RAD-Other,,LI-190SB,01-Jan
CA-Qcu,P,,3.6,PREC-Other,,TR525M-RI,01-Jan
CA-Qcu,PA,,1.6,PRES-Other,,Vaisala Pressure Transmitter,01-Jan
CA-Qcu,SW_IN,,2.5,RAD-Other,,Middleton CNR1,01-Jan
CA-Qcu,LW_IN,,2.5,RAD-Other,,Middleton CNR1,01-Jan
CA-Qcu,LW_OUT,,2.5,RAD-Other,,Middleton CNR1,01-Jan
CA-Qcu,SW_OUT,,2.5,RAD-Other,,Middleton CNR1,01-Jan
CA-Qfo,PPFD_DIF,,22,,,,02-May
CA-Qcu,RH,,6,RH-Other,,Campbell Scientific HMP45C,01-Jan
CA-Qcu,NETRAD,,2.5,,,,01-Jan
CA-Qcu,SH,,,TEMP-Other,,fine-wire thermocouple,01-Jan
CA-Qcu,SWC_2,,-0.2,,,,01-Jan
CA-Qcu,SWC_1,,-0.05,,,,01-Jan
CA-Qfo,PPFD_IN_1_1_1,,22,,,,02-May
CA-Qcu,TA,,6,TEMP-Other,,Campbell Scientific HMP45C,01-Jan
CA-Qcu,TS_1,,-0.02,TEMP-Other,,Copper-constantan thermocouple,01-Jan
CA-Qfo,PPFD_OUT,,22,,,,02-May
CA-Qfo,PA,,1.6,,,,02-May
CA-Qfo,SW_IN,,22,,,,02-May
CA-Qfo,LW_IN,,22,,,,02-May
CA-Qcu,TS_2,,-0.05,TEMP-Other,,Copper-constantan thermocouple,01-Jan
CA-Qfo,LW_OUT,,22,,,,02-May
CA-Qfo,SW_OUT,,22,,,,02-May
CA-Qcu,USTAR,,7,,,,01-Jan
CA-Qcu,VPD_PI,,6,,,,01-Jan
CA-Qcu,WD,,24,WIND-Other,,RM Young Wind Monitor,01-Jan
CA-Qcu,WS,,24,WIND-Other,,RM Young Wind Monitor,01-Jan
CA-Qfo,CO2_1_1_1,,24,GA-Other,,LI-7000 IRGA,02-May
CA-Qfo,FC_1_1_1,,24,GA-Other,,LI-7000 IRGA,02-May
CA-Qfo,G_1_1_1,,0,,,,02-May
CA-Qfo,RH_1_1_1,,24,,,,02-May
CA-Qfo,H_1_1_1,,24,SA-Other,,fine-wire thermocouple,02-May
CA-Qfo,LE_1_1_1,,24,GA-Other,,LI-7000 IRGA,02-May
CA-Qfo,P,,,PREC-Other,,Geonor T200B Precipitation gauge,02-May
CA-Qfo,NETRAD,,22,,,,02-May
CA-Qfo,SC,,24,,,,02-May
CA-Qfo,SH,,,TEMP-Other,,HMP-45C sensors,02-May
CA-Qfo,SLE,,,GA-Other,,HMP-45C sensors,02-May
CA-Qfo,SWC_1_1_1,,-0.05,,,,02-May
CA-Qfo,SWC_1_2_1,,-0.1,,,,02-May
CA-Qfo,TA_1_1_1,,24,,,,02-May
CA-Qfo,TS_1_1_1,,-0.02,,,,02-May
CA-SF1,FC,,12.1,,,,01-Jan
CA-SF1,G,,-0.03,,,,01-Jan
CA-Qfo,TS_1_2_1,,-0.05,,,,02-May
CA-Qfo,USTAR,,24,,,,02-May
CA-Qfo,VPD_PI,,24,,,,02-May
CA-Qfo,WD,,24,,,,02-May
CA-Qfo,WS,,24,,,,02-May
CA-SF1,CO2_1,,12.1,,,,01-Jan
CA-SF1,H,,12.1,,,,01-Jan
CA-SF1,H2O,,12.1,,,,01-Jan
CA-SF1,LE,,12.1,,,,01-Jan
CA-SF1,PPFD_IN,,12.1,RAD-Other,,Kipp & Zonen PAR lite Quantum Sensor,01-Jan
CA-SF1,PPFD_OUT,,12.1,RAD-Other,,Kipp & Zonen PAR lite Quantum Sensor,01-Jan
CA-SF1,P,,1,PREC-Other,,Rain Texas Instrument Tipping Bucket Rain Gauge TE525,01-Jan
CA-SF2,FC,,9.144,,,,03-May
CA-SF3,FC,,18.288,,,,01-Jan
CA-SF1,PA,,1,PRES-Other,,Vaisala PTB101B Barometric Pressure Sensor,01-Jan
CA-SF1,SW_IN,,12.1,RAD-Other,,Kipp & Zonen four components radiation sensor,01-Jan
CA-SF1,LW_IN,,12.1,RAD-Other,,CNR1 Kipp & Zonen four components radiation sensor,01-Jan
CA-SF1,LW_OUT,,12.1,RAD-Other,,CNR1 Kipp & Zonen four components radiation sensor,01-Jan
CA-SF1,SW_OUT,,12.1,RAD-Other,,Kipp & Zonen four components radiation sensor,01-Jan
CA-SF1,RH,,1.5,RH-Other,,Vaisala HMP45C,01-Jan
CA-SF1,NETRAD,,12.1,RAD-Other,,CNR1 Kipp & Zonen four components radiation sensor,01-Jan
CA-SF1,SWC_1,,-0.3,,,,01-Jan
CA-SF1,USTAR,,12.1,,,,01-Jan
CA-SF1,VPD_PI,,1.5,,,,01-Jan
CA-SF1,TA,,1.5,TEMP-Other,,Vaisala HMP45C,01-Jan
CA-SF1,TS_1,,-0.02,TEMP-Other,,Type E (chromel-constantan) Omega EXPP-24S,01-Jan
CA-SJ1,PPFD_IN_PI_F_1_2_1,,4,,,,01-May
CA-SF2,CO2,,9.144,,,,03-May
CA-SF1,TS_2,,-0.05,TEMP-Other,,Type E (chromel-constantan) Omega EXPP-24S,01-Jan
CA-SF1,WD,,12.1,WIND-Other,,R.M. Young wind monitor sn WM50619,01-Jan
CA-SF1,WS,,12.1,WIND-Other,,R.M. Young wind monitor sn WM50619,01-Jan
CA-SF2,G_1_1_1,,-0.03,SOIL_H-Other,,REBS_SoilHeatFlux_0.03m_repA (W/m2),03-May
CA-SF3,G,,-0.03,,,,01-Jan
CA-SF3,H,,18.288,,,,01-Jan
CA-SF2,H,,9.144,,,,03-May
CA-SF2,H2O,,9.144,,,,03-May
CA-SF2,LE,,9.144,,,,03-May
CA-SF2,PPFD_IN,,9.144,RAD-Other,,Kipp & Zonen PAR lite Quantum Sensor,03-May
CA-SF2,PPFD_OUT,,9.144,RAD-Other,,Kipp & Zonen PAR lite Quantum Sensor,03-May
CA-SF2,P,,1,,,,03-May
CA-SF2,PA,,1,PRES-Other,,Vaisala_atm_pressure [kPa] Vaisala PTB101B Barometric Pressure Sensor,03-May
CA-SF2,SW_IN,,9.144,RAD-Other,,CNR1,03-May
CA-SF2,LW_IN,,9.144,RAD-Other,,Kipp & Zonen four components radiation sensor,03-May
CA-SF2,LW_OUT,,9.144,RAD-Other,,CNR1,03-May
CA-SF2,SW_OUT,,9.144,RAD-Other,,CNR1,03-May
CA-SF2,RH,,1.5,RH-Other,,Vaisala HMP45C relative humidity,03-May
CA-SF2,NETRAD_1_1_1,,9.144,RAD-Other,,Kipp & Zonen four components radiation sensor,03-May
CA-SF3,CO2_1,,18.288,,,,01-Jan
CA-SF2,TA_1_1_1,,1.5,TEMP-Other,,Vaisala HMP45C air temperature,03-May
CA-SF2,TS_1_1_1,,-0.02,,,,03-May
CA-SF2,USTAR,,9.144,,,,03-May
CA-SF2,VPD_PI,,1.5,,,,03-May
CA-SF2,TS_1_2_1,,-0.05,,,,03-May
CA-SF2,WD,,9.144,WIND-Other,,Young 05305-10-L AQ wind monitor oriented TRUE MAGNETIC NORTH,03-May
CA-SJ1,SW_IN_PI_F,,6,,,,01-May
CA-SF2,WS,,9.144,WIND-Other,,Young 05305-10-L AQ wind monitor oriented TRUE MAGNETIC NORTH,03-May
CA-SJ1,TA_PI_F_1_1_1,,6,,,,01-May
CA-SJ1,WD_PI_F_1_1_1,,10,,,,01-May
CA-SJ1,WS_PI_F_1_1_1,,10,,,,01-May
CA-SJ1,SWC_PI_F_1,,-0.075,,,,01-May
CA-SJ1,SWC_PI_F_6,,-1.35,,,,01-May
CA-SF3,H2O,,18.288,GA-Other,,Li-Cor LI7500,01-Jan
CA-SF3,LE,,18.288,,,,01-Jan
CA-SF3,PPFD_IN,,18.288,RAD-Other,,Kipp & Zonen PAR lite Quantum Sensor,01-Jan
CA-SF3,PPFD_OUT,,18.288,RAD-Other,,Kipp & Zonen PAR lite Quantum Sensor,01-Jan
CA-SJ1,TA_PI_F_1_2_2,,4,,,,01-May
CA-SF3,P,,1,PREC-Other,,Texas Instrument Tipping Bucket Rain Gauge TE525,01-Jan
CA-SF3,PA,,1,PRES-Other,,Vaisala PTB101B Barometric Pressure Sensor,01-Jan
CA-SF3,SW_IN,,18.288,RAD-Other,,CNR1 Kipp & Zonen four components radiation sensor,01-Jan
CA-SF3,LW_IN,,18.288,RAD-Other,,CNR 1,01-Jan
CA-SF3,LW_OUT,,18.288,RAD-Other,,CNR 1,01-Jan
CA-SF3,SW_OUT,,18.288,RAD-Other,,CNR1 Kipp & Zonen four components radiation sensor,01-Jan
CA-SJ1,TA_PI_F_1_3_2,,1,,,,01-May
CA-SF3,RH,,1.5,RH-Other,,Vaisala HMP45C,01-Jan
CA-SF3,NETRAD,,18.288,RAD-Other,,CNR1 Kipp & Zonen four components radiation sensor,01-Jan
CA-SF3,SWC_1,,-0.3,,,,01-Jan
CA-SF3,VPD_PI,,1.5,,,,01-Jan
CA-SJ1,SW_OUT,,6,,,,01-May
CA-SF3,TA,,1.5,TEMP-Other,,Vaisala HMP45C,01-Jan
CA-SF3,TS_1,,-0.02,TEMP-Other,,Type E (chromel-constantan) Omega EXPP-24S,01-Jan
CA-SF3,USTAR,,18.288,,,,01-Jan
CA-SJ1,RH_PI_F_1_2_1,,4,,,,01-May
CA-SF3,TS_2,,-0.05,TEMP-Other,,Type E (chromel-constantan) Omega EXPP-24S,01-Jan
CA-SF3,WD,,18.288,WIND-Other,,R.M. Young 05305-10-L AQ wind monitor,01-Jan
CA-SJ1,USTAR,,5,,,,01-May
CA-SJ1,PPFD_IN_PI_F_1_1_1,,8,,,,01-May
CA-SJ1,TA_PI_F_1_1_2,,6,,,,01-May
CA-SJ1,RH_PI_F_1_1_1,,6,,,,01-May
CA-SF3,WS,,18.288,WIND-Other,,R.M. Young 05305-10-L AQ wind monitor,01-Jan
CA-SJ1,SWC_PI_1,,-0.075,,,,01-May
CA-SJ1,RH_PI_F_1_3_1,,1,,,,01-May
CA-SJ1,SWC_PI_6,,-1.35,,,,01-May
CA-SJ1,SWC_PI_2,,-0.225,,,,01-May
CA-SJ1,SWC_PI_3,,-0.45,,,,01-May
CA-SJ1,SWC_PI_4,,-0.75,,,,01-May
CA-SJ1,SWC_PI_5,,-1.05,,,,01-May
CA-SJ1,LW_IN,,6,,,,01-May
CA-SJ1,SW_IN,,6,,,,01-May
CA-SJ1,LW_OUT,,6,,,,01-May
CA-SJ1,SWC_PI_F_2,,-0.225,,,,01-May
CA-SJ1,SWC_PI_F_3,,-0.45,,,,01-May
CA-SJ1,SWC_PI_F_4,,-0.75,,,,01-May
CA-SJ1,SWC_PI_F_5,,-1.05,,,,01-May
CA-SJ1,LW_IN_PI_F,,6,,,,01-May
CA-SJ1,TS_PI_F_4_3_1,,-0.1,,,,01-May
CA-SJ1,TS_PI_F_4_1_1,,-0.02,,,,01-May
CA-SJ1,TS_PI_F_4_2_1,,-0.05,,,,01-May
CA-SJ1,TS_PI_F_3_3_1,,-0.1,,,,01-May
CA-SJ1,TS_PI_F_3_1_1,,-0.02,,,,01-May
CA-SJ1,TS_PI_F_3_2_1,,-0.05,,,,01-May
CA-SJ1,TS_PI_F_6_3_1,,-0.1,,,,01-May
CA-SJ1,TS_PI_F_6_1_1,,-0.02,,,,01-May
CA-SJ1,TS_PI_F_6_2_1,,-0.05,,,,01-May
CA-SJ1,TS_PI_F_2_6_1,,-1,,,,01-May
CA-SJ1,TS_PI_F_2_3_1,,-0.1,,,,01-May
CA-SJ1,TS_PI_F_2_4_1,,-0.2,,,,01-May
CA-SJ1,TS_PI_F_2_1_1,,-0.02,,,,01-May
CA-SJ1,TS_PI_F_2_5_2,,-0.5,,,,01-May
CA-SJ1,TS_PI_F_2_2_1,,-0.05,,,,01-May
CA-SJ1,TS_PI_F_5_3_1,,-0.1,,,,01-May
CA-SJ1,TS_PI_F_5_1_1,,-0.02,,,,01-May
CA-SJ1,TS_PI_F_5_2_1,,-0.05,,,,01-May
CA-SJ1,TS_PI_F_1_6_1,,-1,,,,01-May
CA-SJ1,TS_PI_F_1_3_1,,-0.1,,,,01-May
CA-SJ1,TS_PI_F_1_4_1,,-0.2,,,,01-May
CA-SJ1,TS_PI_F_1_1_1,,-0.02,,,,01-May
CA-SJ1,TS_PI_F_1_5_1,,-0.5,,,,01-May
CA-SJ1,TS_PI_F_1_2_1,,-0.05,,,,01-May
CA-SJ1,TA_PI_F_1_2_1,,4,,,,01-May
CA-SJ1,TA_PI_F_1_3_1,,1,,,,01-May
CA-SJ1,LW_OUT_PI_F,,6,,,,01-May
CA-SJ1,PPFD_OUT_PI_F,,6,,,,01-May
CA-SJ1,SW_OUT_PI_F,,6,,,,01-May
CA-SJ1,WD_PI_F_1_2_1,,6,,,,01-May
CA-SJ1,WS_PI_F_1_2_1,,6,,,,01-May
CA-SJ1,TA_1_2_2,,4,,,,01-May
CA-SJ1,TA_1_1_2,,6,,,,01-May
CA-SJ1,TA_1_3_2,,1,,,,01-May
CA-SJ1,LE,,5,,,LI-6262 and SAT-550; -500 to 700,01-May
CA-SJ1,PPFD_IN_1_2_1,,4,,,,01-May
CA-SJ1,PPFD_IN_1_1_1,,8,,,,01-May
CA-SJ1,PPFD_OUT,,6,,,,01-May
CA-SJ1,FC,,5,,,LI-6262 and SAT-550; -5 to 5,01-May
CA-SJ1,RH_1_2_1,,4,,,,01-May
CA-SJ1,RH_1_1_1,,6,,,,01-May
CA-SJ1,RH_1_3_1,,1,,,,01-May
CA-SJ1,H,,5,,,SAT-550; -1000 to 1000,01-May
CA-SJ1,TSN_2_5_1,,0.1,,,,01-May
CA-SJ1,TSN_2_8_1,,0.01,,,,01-May
CA-SJ1,TSN_2_4_1,,0.2,,,,01-May
CA-SJ1,TSN_2_7_1,,0.02,,,,01-May
CA-SJ1,TSN_2_3_1,,0.3,,,,01-May
CA-SJ1,TSN_2_2_1,,0.4,,,,01-May
CA-SJ1,TSN_2_1_1,,0.5,,,,01-May
CA-SJ1,TSN_2_6_1,,0.05,,,,01-May
CA-SJ1,TSN_1_5_1,,0.1,,,,01-May
CA-SJ1,TSN_1_8_1,,0.01,,,,01-May
CA-SJ1,TSN_1_4_1,,0.2,,,,01-May
CA-SJ1,TSN_1_7_1,,0.02,,,,01-May
CA-SJ1,TSN_1_3_1,,0.3,,,,01-May
CA-SJ1,TSN_1_2_1,,0.4,,,,01-May
CA-SJ1,TSN_1_1_1,,0.5,,,,01-May
CA-SJ1,TSN_1_6_1,,0.05,,,,01-May
CA-SJ1,G_4_1_1,,-0.1,,,,01-May
CA-SJ1,G_2_1_1,,-0.1,,,,01-May
CA-SJ1,G_1_1_1,,-0.1,,,,01-May
CA-SJ1,G_3_1_1,,-0.1,,,,01-May
CA-SJ1,TS_4_3_1,,-0.1,,,,01-May
CA-SJ1,TS_4_1_1,,-0.02,,,,01-May
CA-SJ1,TS_4_2_1,,-0.05,,,,01-May
CA-SJ1,TS_3_3_1,,-0.1,,,,01-May
CA-SJ1,TS_3_1_1,,-0.02,,,,01-May
CA-SJ1,TS_3_2_1,,-0.05,,,,01-May
CA-SJ1,TS_6_3_1,,-0.1,,,,01-May
CA-SJ1,TS_6_1_1,,-0.02,,,,01-May
CA-SJ1,TS_6_2_1,,-0.05,,,,01-May
CA-SJ1,TS_2_6_1,,-1,,,,01-May
CA-SJ1,TS_2_3_1,,-0.1,,,,01-May
CA-SJ1,TS_2_4_1,,-0.2,,,,01-May
CA-SJ1,TS_2_1_1,,-0.02,,,,01-May
CA-SJ1,TS_2_5_1,,-0.5,,,,01-May
CA-SJ1,WD_SIGMA_1_1_1,,10,,,,01-May
CA-SJ1,TA_1_1_1,,6,,,,01-May
CA-SJ1,LEAF_WET,,6,,,,01-May
CA-SJ1,WD_1_1_1,,10,,,,01-May
CA-SJ1,TS_2_2_1,,-0.05,,,,01-May
CA-SJ1,TS_5_3_1,,-0.1,,,,01-May
CA-SJ1,TS_5_1_1,,-0.02,,,,01-May
CA-SJ1,TS_5_2_1,,-0.05,,,,01-May
CA-SJ1,TS_1_6_1,,-1,,,,01-May
CA-SJ1,TS_1_3_1,,-0.1,,,,01-May
CA-SJ1,TS_1_4_1,,-0.2,,,,01-May
CA-SJ1,TS_1_1_1,,-0.02,,,,01-May
CA-SJ1,TS_1_5_1,,-0.5,,,,01-May
CA-SJ1,TS_1_2_1,,-0.05,,,,01-May
CA-SJ1,WD_SIGMA_1_2_1,,6,,,RM Young propeller anemometer.,01-May
CA-SJ1,TA_1_2_1,,4,,,,01-May
CA-SJ1,TA_1_3_1,,1,,,,01-May
CA-SJ1,WD_1_2_1,,6,,,RM Young propeller anemometer.,01-May
CA-SJ1,WS_1_1_1,,10,,,,01-May
CA-SJ1,WS_1_2_1,,6,,,RM Young propeller anemometer.,01-May
CA-SJ2,SWC_PI_1,,-0.075,,,,02-May
CA-SJ2,SWC_PI_6,,-1.35,,,,02-May
CA-SJ2,SWC_PI_2,,-0.225,,,,02-May
CA-SJ2,SWC_PI_3,,-0.45,,,,02-May
CA-SJ2,SWC_PI_4,,-0.75,,,,02-May
CA-SJ2,SWC_PI_5,,-1.05,,,,02-May
CA-SJ2,LW_IN,,2,,,,02-May
CA-SJ2,SW_IN,,2,,,,02-May
CA-SJ2,LW_OUT,,2,,,,02-May
CA-SJ2,SW_OUT,,2,,,,02-May
CA-SJ2,FC,,2,,,,02-May
CA-SJ2,CO2,,2,,,,02-May
CA-SJ2,CO2_PI_F,,2,,,,02-May
CA-SJ2,H2O,,2,,,,02-May
CA-SJ2,H2O_PI_F,,2,,,,02-May
CA-SJ2,USTAR,,2,,,,02-May
CA-SJ2,SWC_PI_F_1,,-0.075,,,,02-May
CA-SJ2,SWC_PI_F_6,,-1.35,,,,02-May
CA-SJ2,SWC_PI_F_2,,-0.225,,,,02-May
CA-SJ2,SWC_PI_F_3,,-0.45,,,,02-May
CA-SJ2,SWC_PI_F_4,,-0.75,,,,02-May
CA-SJ2,SWC_PI_F_5,,-1.05,,,,02-May
CA-SJ2,LW_IN_PI_F,,2,,,,02-May
CA-SJ2,NETRAD_PI_F,,2,,,,02-May
CA-SJ2,SW_IN_PI_F,,2,,,,02-May
CA-SJ2,TA_PI_F_1_1_2,,2,,,,02-May
CA-SJ2,TA_PI_F_1_2_1,,1,,,,02-May
CA-SJ2,PPFD_IN_PI_F,,3,,,,02-May
CA-SJ2,PPFD_OUT_PI_F,,2,,,,02-May
CA-SJ2,RH_PI_F_1_1_1,,2,,,,02-May
CA-SJ2,RH_PI_F_1_2_1,,1,,,,02-May
CA-SJ2,TS_PI_F_4_5_1,,-0.1,,,,02-May
CA-SJ2,TS_PI_F_4_2_1,,-0.02,,,,02-May
CA-SJ2,TS_PI_F_5_4_1,,-0.05,,,,02-May
CA-SJ2,TS_PI_F_2_1_1,,-0.01,,,,02-May
CA-SJ2,TS_PI_F_2_3_1,,-0.03,,,,02-May
CA-SJ2,TS_PI_F_6_4_1,,-0.05,,,,02-May
CA-SJ2,TS_PI_F_3_5_1,,-0.1,,,,02-May
CA-SJ2,TS_PI_F_3_2_1,,-0.02,,,,02-May
CA-SJ2,TS_PI_F_4_4_1,,-0.05,,,,02-May
CA-SJ2,TS_PI_F_2_8_1,,-1,,,,02-May
CA-SJ2,TS_PI_F_2_5_1,,-0.1,,,,02-May
CA-SJ2,TS_PI_F_2_6_1,,-0.2,,,,02-May
CA-SJ2,TS_PI_F_2_2_1,,-0.02,,,,02-May
CA-SJ2,TS_PI_F_2_7_1,,-0.5,,,,02-May
CA-SJ2,TS_PI_F_3_4_1,,-0.05,,,,02-May
CA-SJ2,TS_PI_F_1_8_1,,-1,,,,02-May
CA-SJ2,TS_PI_F_1_5_1,,-0.1,,,,02-May
CA-SJ2,TS_PI_F_1_6_1,,-0.2,,,,02-May
CA-SJ2,TS_PI_F_1_2_1,,-0.02,,,,02-May
CA-SJ2,TS_PI_F_1_7_1,,-0.5,,,,02-May
CA-SJ2,TS_PI_F_1_4_1,,-0.05,,,,02-May
CA-SJ2,TS_PI_F_1_1_1,,-0.01,,,,02-May
CA-SJ2,TS_PI_F_1_3_1,,-0.03,,,,02-May
CA-SJ2,TS_PI_F_2_4_1,,-0.05,,,,02-May
CA-SJ2,TA_PI_F_1_1_1,,2,,,,02-May
CA-SJ2,LW_OUT_PI_F,,2,,,,02-May
CA-SJ2,SW_OUT_PI_F,,2,,,,02-May
CA-SJ2,WS_PI_F,,5,,,,02-May
CA-SJ2,TA_1_1_2,,2,,,,02-May
CA-SJ2,TA_1_2_1,,1,,,,02-May
CA-SJ2,LE,,2,,,,02-May
CA-SJ2,PPFD_IN,,3,,,,02-May
CA-SJ2,PPFD_OUT,,2,,,,02-May
CA-SJ2,NETRAD,,2,,,,02-May
CA-SJ2,RH_1_1_1,,2,,,,02-May
CA-SJ2,RH_1_2_1,,1,,,,02-May
CA-SJ2,H,,2,,,,02-May
CA-SJ2,TSN_1_5_1,,0.1,,,,02-May
CA-SJ2,TSN_1_8_1,,0.01,,,,02-May
CA-SJ2,TSN_1_4_1,,0.2,,,,02-May
CA-SJ2,TSN_1_7_1,,0.02,,,,02-May
CA-SJ2,TSN_1_3_1,,0.3,,,,02-May
CA-SJ2,TSN_1_2_1,,0.4,,,,02-May
CA-SJ2,TSN_1_1_1,,0.5,,,,02-May
CA-SJ2,TSN_1_6_1,,0.05,,,,02-May
CA-SJ2,G_1_4_1,,-0.1,,,,02-May
CA-SJ2,G_1_2_1,,-0.03,,,,02-May
CA-SJ2,G_1_4_2,,-0.1,,,,02-May
CA-SJ2,G_2_2_1,,-0.03,,,,02-May
CA-SJ2,G_3_2_1,,-0.03,,,,02-May
CA-SJ2,G_1_3_1,,-0.09,,,,02-May
CA-SJ2,G_1_1_1,,0,,,,02-May
CA-SJ2,G_4_2_1,,-0.03,,,,02-May
CA-SJ2,TS_4_5_1,,-0.1,,,,02-May
CA-SJ2,TS_4_2_1,,-0.02,,,,02-May
CA-SJ2,TS_5_4_1,,-0.05,,,,02-May
CA-SJ2,TS_2_1_1,,-0.01,,,,02-May
CA-SJ2,TS_2_3_1,,-0.03,,,,02-May
CA-SJ2,TS_6_4_1,,-0.05,,,,02-May
CA-SJ2,TS_3_5_1,,-0.1,,,,02-May
CA-SJ2,TS_3_2_1,,-0.02,,,,02-May
CA-SJ2,TS_4_4_1,,-0.05,,,,02-May
CA-SJ2,TS_2_8_1,,-1,,,,02-May
CA-SJ2,TS_2_5_1,,-0.1,,,,02-May
CA-SJ2,TS_2_6_1,,-0.2,,,,02-May
CA-SJ2,TS_2_2_1,,-0.02,,,,02-May
CA-SJ2,TS_2_7_1,,-0.5,,,,02-May
CA-SJ2,TS_3_4_1,,-0.05,,,,02-May
CA-SJ2,TS_1_8_1,,-1,,,,02-May
CA-SJ2,TS_1_5_1,,-0.1,,,,02-May
CA-SJ2,TS_1_6_1,,-0.2,,,,02-May
CA-SJ2,TS_1_2_1,,-0.02,,,,02-May
CA-SJ2,TS_1_7_1,,-0.5,,,,02-May
CA-SJ2,TS_1_4_1,,-0.05,,,,02-May
CA-SJ2,TS_1_1_1,,-0.01,,,,02-May
CA-SJ2,TS_1_3_1,,-0.03,,,,02-May
CA-SJ2,TS_2_4_1,,-0.05,,,,02-May
CA-SJ2,TA_1_1_1,,2,,,,02-May
CA-SJ2,LEAF_WET,,3,,,,02-May
CA-SJ2,WD,,5,,,,02-May
CA-SJ2,WS,,5,,,,02-May
CA-SJ3,SWC_PI_1,,-0.075,,,,02-May
CA-SJ3,SWC_PI_6,,-1.35,,,,02-May
CA-SJ3,SWC_PI_2,,-0.225,,,,02-May
